Direction	Pendage	Orientation
168	87	W
96	70	N
60	76	NW
160	72	E
100	65	N
30	85	W
105	70	N
172	80	E
105	69	N
102	64	N
164	85	E
107	60	N
105	65	N
173	77	E
104	70	N
196	87	W
100	71	N
78	80	N
64	85	N
106	73	N
99	70	N
20	85	W
55	81	NW
100	73	N
52	78	W
152	75	W
75	86	N
20	80	N
100	75	N
98	76	N
90	85	N
22	85	W
100	75	N
15	85	W
75	78	N
100	69	N
155	89	W
15	86	W
35	90	
130	72	N
170	75	E
85	65	N
108	68	N
105	83	S
158	65	NE
68	76	NW
15	85	W
165	73	E
65	80	NW
175	75	E
20	85	W
64	80	N
55	70	NW
80	62	N
30	84	W
140	90	
18	90	
105	70	N
50	75	NW
20	86	W
80	64	N
130	74	N
90	62	N
5	66	W
150	90	
0	87	E
98	74	N
18	74	W
147	69	E
90	73	N
178	80	E
105	77	N
100	68	N
105	79	N
15	79	N
